Gene	93207-4gran
fig|6666666.95583.peg.520	0.97345971563981
fig|6666666.95583.peg.2626	0.973143759873618
fig|6666666.95583.peg.2341	0.972827804107425
fig|6666666.95583.peg.2067	0.972511848341232
fig|6666666.95583.peg.3367	0.972195892575039
fig|6666666.95583.peg.3909	0.971879936808847
fig|6666666.95583.peg.3708	0.971563981042654
fig|6666666.95583.peg.108	0.971248025276461
fig|6666666.95583.peg.2512	0.970932069510269
fig|6666666.95583.peg.1401	0.970616113744076
fig|6666666.95583.peg.162	0.970300157977883
fig|6666666.95583.peg.2687	0.96998420221169
fig|6666666.95583.peg.3884	0.969668246445498
fig|6666666.95583.peg.666	0.969352290679305
fig|6666666.95583.peg.3868	0.969036334913112
fig|6666666.95583.peg.1620	0.968720379146919
fig|6666666.95583.peg.436	0.968404423380727
fig|6666666.95583.peg.3529	0.968088467614534
fig|6666666.95583.peg.1697	0.967772511848341
fig|6666666.95583.peg.3883	0.967456556082149
fig|6666666.95583.peg.1195	0.967140600315956
fig|6666666.95583.peg.1717	0.966824644549763
fig|6666666.95583.peg.3667	0.96650868878357
fig|6666666.95583.peg.2085	0.966192733017378
fig|6666666.95583.peg.1945	0.965876777251185
fig|6666666.95583.peg.3546	0.965560821484992
fig|6666666.95583.peg.1614	0.965244865718799
fig|6666666.95583.peg.852	0.964928909952607
fig|6666666.95583.peg.2565	0.964612954186414
fig|6666666.95583.peg.2733	0.964296998420221
fig|6666666.95583.peg.1685	0.963981042654028
fig|6666666.95583.peg.901	0.963665086887836
fig|6666666.95583.peg.1422	0.963349131121643
fig|6666666.95583.peg.451	0.96303317535545
fig|6666666.95583.peg.3630	0.962717219589257
fig|6666666.95583.peg.1315	0.962401263823065
fig|6666666.95583.peg.2989	0.962085308056872
fig|6666666.95583.peg.373	0.961769352290679
fig|6666666.95583.peg.2998	0.961453396524487
fig|6666666.95583.peg.2513	0.961137440758294
fig|6666666.95583.peg.2238	0.960821484992101
fig|6666666.95583.peg.3710	0.960505529225908
fig|6666666.95583.peg.3333	0.960189573459716
fig|6666666.95583.peg.1514	0.959873617693523
fig|6666666.95583.peg.3147	0.95955766192733
fig|6666666.95583.peg.1999	0.959241706161137
fig|6666666.95583.peg.2188	0.958925750394945
fig|6666666.95583.peg.3219	0.958609794628752
fig|6666666.95583.peg.1550	0.958293838862559
fig|6666666.95583.peg.735	0.957977883096367
fig|6666666.95583.peg.2764	0.957661927330174
fig|6666666.95583.peg.741	0.957345971563981
fig|6666666.95583.peg.3057	0.957030015797788
fig|6666666.95583.peg.3091	0.956714060031596
fig|6666666.95583.peg.2867	0.956398104265403
fig|6666666.95583.peg.2619	0.95608214849921
fig|6666666.95583.peg.3325	0.955766192733017
fig|6666666.95583.peg.296	0.955450236966825
fig|6666666.95583.peg.1568	0.955134281200632
fig|6666666.95583.peg.2768	0.954818325434439
fig|6666666.95583.peg.2577	0.954502369668246
fig|6666666.95583.peg.2357	0.954186413902054
fig|6666666.95583.peg.2051	0.953870458135861
fig|6666666.95583.peg.3870	0.953554502369668
