feature_ids	4-gran
fig|6666666.95701.peg.518	0.968210941350419
fig|6666666.95701.peg.822	0.967964514539182
fig|6666666.95701.peg.4287	0.967718087727945
fig|6666666.95701.peg.2308	0.967471660916708
fig|6666666.95701.peg.2934	0.967225234105471
fig|6666666.95701.peg.1985	0.966978807294234
fig|6666666.95701.peg.2078	0.966732380482997
fig|6666666.95701.peg.4292	0.966485953671759
fig|6666666.95701.peg.998	0.966239526860522
fig|6666666.95701.peg.1799	0.965993100049285
fig|6666666.95701.peg.3637	0.965746673238048
fig|6666666.95701.peg.2880	0.965500246426811
fig|6666666.95701.peg.517	0.965253819615574
fig|6666666.95701.peg.1618	0.965007392804337
fig|6666666.95701.peg.1610	0.9647609659931
fig|6666666.95701.peg.1996	0.964514539181863
fig|6666666.95701.peg.3135	0.964268112370626
fig|6666666.95701.peg.1980	0.964021685559389
fig|6666666.95701.peg.588	0.963775258748152
fig|6666666.95701.peg.1421	0.963528831936915
fig|6666666.95701.peg.1997	0.963282405125678
fig|6666666.95701.peg.4288	0.963035978314441
fig|6666666.95701.peg.3560	0.962789551503204
fig|6666666.95701.peg.1119	0.962543124691966
fig|6666666.95701.peg.1412	0.962296697880729
fig|6666666.95701.peg.2713	0.962050271069492
fig|6666666.95701.peg.2808	0.961803844258255
fig|6666666.95701.peg.3607	0.961557417447018
fig|6666666.95701.peg.919	0.961310990635781
fig|6666666.95701.peg.2729	0.961064563824544
fig|6666666.95701.peg.2364	0.960818137013307
fig|6666666.95701.peg.3623	0.96057171020207
fig|6666666.95701.peg.2712	0.960325283390833
fig|6666666.95701.peg.4293	0.960078856579596
fig|6666666.95701.peg.2313	0.959832429768359
fig|6666666.95701.peg.342	0.959586002957122
fig|6666666.95701.peg.4280	0.959339576145885
fig|6666666.95701.peg.180	0.959093149334648
fig|6666666.95701.peg.4482	0.958846722523411
fig|6666666.95701.peg.3989	0.958600295712174
fig|6666666.95701.peg.1767	0.958353868900936
fig|6666666.95701.peg.2702	0.958107442089699
fig|6666666.95701.peg.1098	0.957861015278462
fig|6666666.95701.peg.1995	0.957614588467225
fig|6666666.95701.peg.3656	0.957368161655988
fig|6666666.95701.peg.1720	0.957121734844751
fig|6666666.95701.peg.3895	0.956875308033514
fig|6666666.95701.peg.508	0.956628881222277
fig|6666666.95701.peg.4078	0.95638245441104
fig|6666666.95701.peg.2890	0.956136027599803
fig|6666666.95701.peg.3955	0.955889600788566
fig|6666666.95701.peg.340	0.955643173977329
fig|6666666.95701.peg.1729	0.955396747166092
fig|6666666.95701.peg.2889	0.955150320354855
fig|6666666.95701.peg.1113	0.954903893543618
fig|6666666.95701.peg.1602	0.95465746673238
fig|6666666.95701.peg.4320	0.954411039921143
fig|6666666.95701.peg.1709	0.954164613109906
fig|6666666.95701.peg.338	0.953918186298669
fig|6666666.95701.peg.1238	0.953671759487432
fig|6666666.95701.peg.1604	0.953425332676195
fig|6666666.95701.peg.4173	0.953178905864958
fig|6666666.95701.peg.3924	0.952932479053721
fig|6666666.95701.peg.1437	0.952686052242484
fig|6666666.95701.peg.2440	0.952439625431247
fig|6666666.95701.peg.560	0.95219319862001
fig|6666666.95701.peg.3587	0.951946771808773
fig|6666666.95701.peg.335	0.951700344997536
fig|6666666.95701.peg.2711	0.951453918186299
fig|6666666.95701.peg.3559	0.951207491375062
fig|6666666.95701.peg.4247	0.950961064563825
fig|6666666.95701.peg.2357	0.950714637752587
fig|6666666.95701.peg.2145	0.95046821094135
fig|6666666.95701.peg.1179	0.950221784130113
fig|6666666.95701.peg.1042	0.949975357318876
fig|6666666.95701.peg.3573	0.949728930507639
fig|6666666.95701.peg.224	0.949482503696402
fig|6666666.95701.peg.3554	0.949236076885165
fig|6666666.95701.peg.2316	0.948989650073928
fig|6666666.95701.peg.4212	0.948743223262691
fig|6666666.95701.peg.2430	0.948496796451454
fig|6666666.95701.peg.3622	0.948250369640217
fig|6666666.95701.peg.3242	0.94800394282898
fig|6666666.95701.peg.4148	0.947757516017743
fig|6666666.95701.peg.1780	0.947511089206506
fig|6666666.95701.peg.2782	0.947264662395269
fig|6666666.95701.peg.2348	0.947018235584032
fig|6666666.95701.peg.4186	0.946771808772794
fig|6666666.95701.peg.2398	0.946525381961557
fig|6666666.95701.peg.903	0.94627895515032
fig|6666666.95701.peg.3701	0.946032528339083
fig|6666666.95701.peg.4279	0.945786101527846
fig|6666666.95701.peg.1092	0.945539674716609
fig|6666666.95701.peg.2810	0.945293247905372
fig|6666666.95701.peg.4290	0.945046821094135
fig|6666666.95701.peg.2169	0.944800394282898
fig|6666666.95701.peg.1495	0.944553967471661
fig|6666666.95701.peg.83	0.944307540660424
fig|6666666.95701.peg.3904	0.944061113849187
fig|6666666.95701.peg.2699	0.94381468703795
fig|6666666.95701.peg.4450	0.943568260226713
fig|6666666.95701.peg.761	0.943321833415476
fig|6666666.95701.peg.2197	0.943075406604238
fig|6666666.95701.peg.226	0.942828979793002
fig|6666666.95701.peg.3987	0.942582552981764
fig|6666666.95701.peg.2230	0.942336126170527
fig|6666666.95701.peg.2368	0.94208969935929
fig|6666666.95701.peg.1582	0.941843272548053
fig|6666666.95701.peg.4031	0.941596845736816
fig|6666666.95701.peg.3603	0.941350418925579
fig|6666666.95701.peg.406	0.941103992114342
fig|6666666.95701.peg.1512	0.940857565303105
fig|6666666.95701.peg.2211	0.940611138491868
fig|6666666.95701.peg.2217	0.940364711680631
fig|6666666.95701.peg.3562	0.940118284869394
fig|6666666.95701.peg.2163	0.939871858058157
fig|6666666.95701.peg.304	0.93962543124692
fig|6666666.95701.peg.2351	0.939379004435683
fig|6666666.95701.peg.1114	0.939132577624446
fig|6666666.95701.peg.309	0.938886150813208
fig|6666666.95701.peg.1377	0.938639724001971
fig|6666666.95701.peg.3717	0.938393297190734
fig|6666666.95701.peg.3685	0.938146870379497
fig|6666666.95701.peg.2875	0.93790044356826
fig|6666666.95701.peg.1515	0.937654016757023
fig|6666666.95701.peg.1678	0.937407589945786
fig|6666666.95701.peg.1306	0.937161163134549
fig|6666666.95701.peg.1986	0.936914736323312
fig|6666666.95701.peg.32	0.936668309512075
